tick,hour,weather,total_entities,alive_total,dead_total,births_total,deaths_total,alive_herbivores,alive_carnivores,alive_insectivores,avg_thirst,avg_hunger,min_thirst,max_thirst,min_hunger,max_hunger,desperate_count,sleeping_count,drinking_count,grazing_count,foraging_count,hunting_count,fleeing_count,water_drinkers,water_capacity,water_utilization_pct,grazers,grazing_capacity,grazing_utilization_pct,insect_feeders,insect_capacity,insect_utilization_pct,rangers,jeeps,avg_jeep_fuel,min_jeep_fuel,total_sightings,active_poachers,poacher_spawns_total,poachers_arrested_total,poachers_escaped_total,poached_animals_total,temporary_camps,temporary_camps_created,deaths_thirst,deaths_starvation,deaths_hunting,births_this_tick,deaths_this_tick,poachers_arrested_this_tick,poachers_escaped_this_tick,poached_animals_this_tick
1,1,CLEAR,24,20,0,0,0,12,4,4,23.0,31.1,2,44,4,49,0,10,0,0,0,0,5,0,51,0.0,0,46,0.0,0,22,0.0,2,2,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,CLEAR,24,20,0,0,0,12,4,4,25.0,32.1,4,46,5,50,0,10,0,0,0,0,3,0,51,0.0,0,46,0.0,0,22,0.0,2,2,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,CLEAR,24,20,0,0,0,12,4,4,27.0,33.1,6,48,6,51,0,7,0,0,0,0,4,0,51,0.0,0,46,0.0,0,22,0.0,2,2,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,CLEAR,24,20,0,0,0,12,4,4,29.0,34.1,8,50,7,52,0,7,2,0,0,0,2,2,51,3.9,0,46,0.0,0,22,0.0,2,2,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,CLEAR,24,20,0,0,0,12,4,4,28.3,35.1,10,45,8,53,0,7,2,0,0,0,3,2,51,3.9,0,46,0.0,0,22,0.0,2,2,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,CLEAR,24,20,0,0,0,12,4,4,27.6,36.1,0,47,9,54,0,2,0,0,0,0,6,0,51,0.0,0,46,0.0,0,22,0.0,2,2,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,CLEAR,24,20,0,0,0,12,4,4,29.6,37.1,2,49,10,55,0,3,1,0,0,0,8,1,51,2.0,0,46,0.0,0,22,0.0,2,2,157.0,156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,CLEAR,24,20,0,0,0,12,4,4,30.3,38.1,4,50,11,56,0,3,1,0,0,0,3,1,51,2.0,0,46,0.0,0,22,0.0,2,2,156.0,154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,CLEAR,24,20,0,0,0,12,4,4,31.0,39.1,0,52,12,57,0,3,0,0,0,0,4,0,51,0.0,0,46,0.0,0,22,0.0,2,2,154.5,152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,CLEAR,24,20,0,0,0,12,4,4,33.0,40.1,2,54,13,58,0,2,1,0,0,0,2,1,51,2.0,0,46,0.0,0,22,0.0,2,2,152.5,149,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
