tick,hour,weather,total_entities,alive_total,dead_total,births_total,deaths_total,alive_herbivores,alive_carnivores,alive_insectivores,avg_thirst,avg_hunger,min_thirst,max_thirst,min_hunger,max_hunger,desperate_count,sleeping_count,drinking_count,grazing_count,foraging_count,hunting_count,fleeing_count,water_drinkers,water_capacity,water_utilization_pct,grazers,grazing_capacity,grazing_utilization_pct,insect_feeders,insect_capacity,insect_utilization_pct,rangers,jeeps,active_long_trips,jeep_seats_taken,jeep_seat_capacity,jeep_occupancy_pct,avg_jeep_fuel,min_jeep_fuel,total_sightings,active_poachers,poacher_spawns_total,poachers_arrested_total,poachers_escaped_total,poached_animals_total,temporary_camps,temporary_camps_created,deaths_thirst,deaths_starvation,deaths_hunting,births_this_tick,deaths_this_tick,poachers_arrested_this_tick,poachers_escaped_this_tick,poached_animals_this_tick
1,1,CLEAR,100,92,0,0,0,67,3,22,23.0,29.6,2,47,1,56,0,53,0,0,0,0,0,0,51,0.0,0,46,0.0,0,22,0.0,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,CLEAR,100,92,0,0,0,67,3,22,25.0,30.6,4,49,2,57,0,52,0,0,1,0,0,0,51,0.0,0,46,0.0,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,CLEAR,100,92,0,0,0,67,3,22,27.0,31.4,6,51,3,58,0,49,0,0,1,0,0,0,51,0.0,0,46,0.0,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,CLEAR,100,92,0,0,0,67,3,22,29.0,32.1,8,53,4,59,0,46,0,1,2,0,0,0,51,0.0,1,46,2.2,2,22,9.1,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,CLEAR,100,92,0,0,0,67,3,22,31.0,32.4,10,55,0,60,0,39,0,1,1,0,0,0,51,0.0,1,46,2.2,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,CLEAR,100,92,0,0,0,67,3,22,33.0,33.0,12,57,0,61,0,9,2,2,1,0,0,2,51,3.9,2,46,4.3,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,CLEAR,100,92,0,0,0,67,3,22,34.4,33.3,14,59,0,62,0,10,3,1,1,0,0,3,51,5.9,1,46,2.2,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,CLEAR,100,92,0,0,0,67,3,22,35.6,33.8,0,61,0,63,0,10,2,0,1,0,0,2,51,3.9,0,46,0.0,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,CLEAR,100,92,0,0,0,67,3,22,37.3,34.8,0,63,0,64,0,10,2,0,0,0,0,2,51,3.9,0,46,0.0,0,22,0.0,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,CLEAR,100,92,0,0,0,67,3,22,38.7,35.8,2,65,1,65,0,10,4,2,0,0,0,4,51,7.8,2,46,4.3,0,22,0.0,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,CLEAR,100,92,0,0,0,67,3,22,39.5,36.2,1,67,2,65,0,10,7,3,0,0,0,7,51,13.7,3,46,6.5,0,22,0.0,4,4,0,0,30,0.0,160.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,CLEAR,101,92,0,0,0,67,3,22,39.9,36.4,0,69,0,66,0,9,11,3,1,0,0,11,51,21.6,3,46,6.5,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
13,13,CLEAR,101,92,0,0,0,67,3,22,39.2,36.5,0,66,0,67,0,8,11,1,1,0,0,11,51,21.6,1,46,2.2,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,14,CLEAR,101,92,0,0,0,67,3,22,38.4,36.9,0,68,1,68,0,6,10,2,1,0,0,10,51,19.6,2,46,4.3,1,22,4.5,4,4,0,0,30,0.0,160.0,160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,15,CLEAR,101,92,0,0,0,67,3,22,38.1,37.4,0,70,0,69,0,5,7,1,0,0,0,7,51,13.7,1,46,2.2,0,22,0.0,4,4,0,26,30,86.7,158.2,158,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,16,CLEAR,101,92,0,0,0,67,3,22,38.3,38.1,0,72,1,70,0,3,9,1,0,0,0,9,51,17.6,1,46,2.2,0,22,0.0,4,4,0,26,30,86.7,158.2,158,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
