tick,season,current_weather,temperature,total_grass,food_regrow_rate
1,wet,none,24.09020927827437,480,1.5
2,wet,none,20.71790587282512,480,1.5
3,wet,rain,20.169717451634277,480,1.5
4,wet,none,23.66870543681474,480,1.5
5,wet,rain,20.657995915815984,480,1.5
6,wet,none,19.907502930197168,480,1.5
7,wet,none,24.34339463581146,480,1.5
8,wet,rain,20.164626307967147,480,1.5
9,wet,none,19.76203193026811,450,1.5
10,wet,rain,22.894834610290115,450,1.5
11,wet,none,24.7619297801456,450,1.5
12,wet,none,23.4472228715954,450,1.5
13,wet,none,19.23741711949991,423,1.5
14,wet,none,22.09968861413752,423,1.5
15,wet,rain,22.50948422502769,423,1.5
16,wet,rain,24.318942397352107,423,1.5
17,wet,rain,21.073845747507917,429,1.5
18,wet,none,24.301921860666475,399,1.5
19,wet,none,24.16784776466524,399,1.5
20,wet,rain,23.492217901226425,399,1.5
