id,tick,entity_id,event_type,details
1,1,,WEATHER,"season=wet,event=none,temp=24.1"
2,2,,WEATHER,"season=wet,event=none,temp=20.7"
3,3,,WEATHER,"season=wet,event=rain,temp=20.2"
4,4,,WEATHER,"season=wet,event=none,temp=23.7"
5,5,,WEATHER,"season=wet,event=rain,temp=20.7"
6,6,,WEATHER,"season=wet,event=none,temp=19.9"
7,7,,WEATHER,"season=wet,event=none,temp=24.3"
8,8,,WEATHER,"season=wet,event=rain,temp=20.2"
9,0,1,ENTITY_ATE,consumed=True
10,0,2,ENTITY_ATE,consumed=True
11,0,3,ENTITY_ATE,consumed=True
12,9,,WEATHER,"season=wet,event=none,temp=19.8"
13,10,,WEATHER,"season=wet,event=rain,temp=22.9"
14,11,,WEATHER,"season=wet,event=none,temp=24.8"
15,12,,WEATHER,"season=wet,event=none,temp=23.4"
16,0,1,ENTITY_ATE,consumed=True
17,0,2,ENTITY_ATE,consumed=True
18,0,3,ENTITY_ATE,consumed=True
19,13,,WEATHER,"season=wet,event=none,temp=19.2"
20,14,,WEATHER,"season=wet,event=none,temp=22.1"
21,15,,WEATHER,"season=wet,event=rain,temp=22.5"
22,16,,WEATHER,"season=wet,event=rain,temp=24.3"
23,17,,WEATHER,"season=wet,event=rain,temp=21.1"
24,0,1,ENTITY_ATE,consumed=True
25,0,2,ENTITY_ATE,consumed=True
26,0,3,ENTITY_ATE,consumed=True
27,18,,WEATHER,"season=wet,event=none,temp=24.3"
28,19,,WEATHER,"season=wet,event=none,temp=24.2"
29,20,,WEATHER,"season=wet,event=rain,temp=23.5"
30,0,1,ENTITY_ATE,consumed=True
31,0,2,ENTITY_ATE,consumed=True
32,0,3,ENTITY_ATE,consumed=True
